doc_id,doc_path,doc_section,claim_type,claim_text,code_artifact_type,code_path,code_anchor,status,severity,notes
"DOC07-TYPES-03","docs/07_CANVAS_NODE_CONTRACTS.md","1) Node types","ui","O2O Node is planned (not in current build).","ui","frontend/src/components/canvas","n/a","match","","Docs updated to mark node as planned."
"DOC07-TYPES-04","docs/07_CANVAS_NODE_CONTRACTS.md","1) Node types","ui","Parent Node (MASTER) is represented as a locked Source Node, not a distinct node type.","ui","frontend/src/components/canvas/CustomNodes.tsx","SourceNode uses RemixNode + isLocked","match","","Docs updated to reflect representation."
"DOC07-CAPSULE-01","docs/07_CANVAS_NODE_CONTRACTS.md","2) Capsule Node contract","contract","CapsuleDefinition uses inputs/outputs label arrays with params; GuideNode payload carries hook/shotlist/audio/scene/timing/do_not.","ui","frontend/src/components/canvas/CapsuleNode.tsx","CapsuleDefinition","match","","Docs updated to match CapsuleDefinition."
"DOC07-EVIDENCE-01","docs/07_CANVAS_NODE_CONTRACTS.md","3) Evidence/Decision UI rules","ui","Evidence node shows top 5 patterns + risks (best_comments/recurrence badges not shown).","ui","frontend/src/components/canvas/EvidenceNodes.tsx","EvidenceNode","match","","Docs updated to current UI."
"DOC07-DECISION-01","docs/07_CANVAS_NODE_CONTRACTS.md","3) Evidence/Decision UI rules","ui","Decision node shows 1-line conclusion + 3 reasons + next experiment.","ui","frontend/src/components/canvas/EvidenceNodes.tsx","DecisionNode","match","",""
"DOC01-VDG-01","docs/01_VDG_SYSTEM.md","3.1 VDGv4 Main Structure","schema","VDGv4 includes semantic/analysis_plan/visual/merger_quality/contract_candidates/evidence_items/distill_runs.","schema","backend/app/schemas/vdg_v4.py","class VDGv4","match","",""
"DOC01-METRIC-01","docs/01_VDG_SYSTEM.md","3.2 Metric Registry","schema","MetricDefinition schema lives in app/schemas/metric_registry.py.","schema","backend/app/schemas/metric_registry.py","class MetricDefinition","match","",""
"DOC01-DIRECTOR-01","docs/01_VDG_SYSTEM.md","3.3 Director Pack","schema","DirectorPack fields include pack_version/pattern_id/goal/dna_invariants/mutation_slots/forbidden_mutations/checkpoints/policy.","schema","backend/app/schemas/director_pack.py","DirectorPack","match","",""
"DOC01-COACH-01","docs/01_VDG_SYSTEM.md","Coaching System Phase 1-5+","enum","Personas are drill_sergeant/bestie/chill_guide/hype_coach (aliases: strict_pd/close_friend/calm_mentor/energetic).","websocket","backend/app/routers/coaching_ws.py","coaching_websocket signature","match","","Docs updated with persona aliases."
"DOC01-API-01","docs/01_VDG_SYSTEM.md","8.2 API Endpoints","endpoint","Coaching endpoints are /api/v1/coaching/sessions, /api/v1/coaching/sessions/{id}, /api/v1/coaching/sessions/{id}/feedback.","api","backend/app/routers/coaching.py","router prefix '/coaching'","match","","Docs updated with /api/v1 prefix."
"DOCNOTE-PACK-01","docs/NOTEBOOKLM_SPEC.md","4.1 Pack file composition","artifact","Source Pack is a Google Sheet/CSV with section/key/value/entry_idx (includes best_comments_json when present).","script","backend/scripts/build_notebook_source_pack.py","n/a","match","","Docs updated to reflect sheet/CSV output."
"DOCNOTE-COMMENT-01","docs/NOTEBOOKLM_SPEC.md","4.2 Comment Evidence rules","logic","Comment tagging is planned and NO_COMMENTS_AVAILABLE sentinel is not used (empty list on no comments).","service","backend/app/services/comment_extractor.py","n/a","match","","Docs updated to reflect current behavior."
"DOCNOTE-CMD-01","docs/NOTEBOOKLM_SPEC.md","4.3 Pack command","cli","build_notebook_source_pack uses default output (Sheet) with optional --local CSV fallback.","script","backend/scripts/build_notebook_source_pack.py","argparse","match","","Docs updated to remove --output-dir."
"DOCNOTE-SCRIPTS-01","docs/NOTEBOOKLM_SPEC.md","8) Enterprise API integration","script","NotebookLM automation scripts are planned (not yet in repo).","script","backend/scripts","n/a","match","","Docs updated to mark scripts as planned."
"DOCNOTE-DB-01","docs/NOTEBOOKLM_SPEC.md","8) Enterprise API integration","schema","notebooklm_registry table is planned (not yet implemented in DB).","model","backend/app/models.py","n/a","match","","Docs updated to mark registry as planned."
"DOC20-EMBED-01","docs/20_TIKTOK_EMBED_SPEC.md","2.4 Unmute + postMessage","ui","TikTok player uses player/v1 with postMessage unmute.","ui","frontend/src/components/outlier/TikTokPlayer.tsx","handleToggleMute + embedUrl","match","",""
"DOC20-EMBED-02","docs/20_TIKTOK_EMBED_SPEC.md","1) Embed choice","ui","Embed v2 is avoided in favor of player/v1.","ui","frontend/src/components/VirloVideoCard.tsx","PLATFORM_CONFIG.tiktok.embedUrl","match","","VirloVideoCard uses player/v1."
"DOC20-EMBED-03","docs/20_TIKTOK_EMBED_SPEC.md","Thumbnail proxy","ui","weserv.nl proxy is used for TikTok thumbnails.","ui","frontend/src/components/outlier/TikTokPlayer.tsx","getProxiedThumbnailUrl","match","",""
"DOC20-EMBED-04","docs/20_TIKTOK_EMBED_SPEC.md","URL extraction","logic","extractTikTokVideoId supports /video, /v, and numeric URL patterns.","ui","frontend/src/components/outlier/TikTokPlayer.tsx","extractVideoId","match","",""
"DOC20-EMBED-05","docs/20_TIKTOK_EMBED_SPEC.md","URL extraction","logic","Short URLs (vm.tiktok.com) are not resolved in the current frontend; pre-resolved URLs are required.","ui","frontend/src/components/outlier/TikTokPlayer.tsx","extractVideoId","match","","Docs updated to reflect current behavior."
"DOCARCH-WS-01","docs/ARCHITECTURE_FINAL.md","API Endpoints","endpoint","WebSocket endpoint is /api/v1/ws/coaching/{session_id}.","websocket","backend/app/routers/coaching_ws.py","@router.websocket('/ws/coaching/{session_id}')","match","","Docs updated to /api/v1/ws/coaching/{session_id}."
"DOCARCH-REST-01","docs/ARCHITECTURE_FINAL.md","REST API","endpoint","REST endpoints are /api/v1/coaching/sessions/*.","api","backend/app/routers/coaching.py","router prefix '/coaching'","match","","Docs updated with /api/v1 prefix."
"DOCARCH-REST-02","docs/ARCHITECTURE_FINAL.md","REST API","endpoint","POST /api/v1/coaching/sessions/{id}/end exists (alias).","api","backend/app/routers/coaching.py","end_session + end_session_alias","match","","Alias route added in backend."
"DOCARCH-REST-03","docs/ARCHITECTURE_FINAL.md","REST API","endpoint","GET /api/v1/outliers/items/{id} includes shooting_guide.","api","backend/app/routers/outliers.py","get_outlier_item","match","","Guide is embedded in item response."
"DOCARCH-WS-02","docs/ARCHITECTURE_FINAL.md","API Endpoints","message","WebSocket uses video_frame/frame_ack/pong message types.","websocket","backend/app/routers/coaching_ws.py","handle_video_frame + frame_ack","match","",""
"DOC11-NODE-01","docs/11_KOMISSION_STUDIO_SPEC.md","1. Executive Vision","ui","Visual Evidence Chain is planned; current build does not enforce chain/provenance rendering.","ui","frontend/src/app/ops/canvas/page.tsx","nodeTypes map","match","","Docs updated to mark as planned."
"DOC11-NODE-02","docs/11_KOMISSION_STUDIO_SPEC.md","2.1 Core Node Types","ui","Notebook Library node uses static summaries; DB wiring is planned.","ui","frontend/src/components/canvas/CustomNodes.tsx","NotebookNode","match","","Docs updated to reflect current behavior."
"DOC11-CAPSULE-01","docs/11_KOMISSION_STUDIO_SPEC.md","5) Phase 2","integration","Connect Capsule Processor Node to run_real_evidence_loop.py backend (planned, not implemented in current build).","ui","frontend/src/components/canvas/CapsuleNode.tsx","handleRun (mock)","match","","Doc now marks integration as planned."
"DOC11-STATUS-01","docs/11_KOMISSION_STUDIO_SPEC.md","5) Phase 2","ui","Capsule status streaming via WebSocket/Polling is planned (not implemented).","ui","frontend/src/components/canvas/CapsuleNode.tsx","localStatus","match","","Docs already mark as planned."
"DOC11-TOKEN-01","docs/11_KOMISSION_STUDIO_SPEC.md","3.3 Interaction","ui","Live Token Counter is planned (not implemented).","ui","frontend/src/components/canvas/CapsuleNode.tsx","n/a","match","","Docs updated to mark as planned."
"DOC11-CONN-01","docs/11_KOMISSION_STUDIO_SPEC.md","2.2 Connection Rules","ui","Connection rule enforcement is planned (not enforced in current build).","ui","frontend/src/app/ops/canvas/page.tsx","React Flow config","match","","Docs updated to mark enforcement as planned."
"DOC11-SEED-01","docs/11_KOMISSION_STUDIO_SPEC.md","2.1 Core Node Types","ui","Template Seed node exposes seed_id, template_type, hook, shotlist, audio, timing, parent_id, cluster_id.","ui","frontend/src/components/canvas/TemplateSeedNode.tsx","TemplateSeedNodeData","match","","Docs updated to reflect TemplateSeedNodeData."
